BLDG_NM,THING_AMT,address,latitude,longitude,THING_AMT_KOR
더이공이공*마을과집,43736,서울특별시 광진구 자양동 0771-0024 더이공이공*마을과집,37.5388323330787,127.080651720875,4억 3천
더존예가,52000,서울특별시 광진구 중곡동 0052-0011 더존예가,37.5595336109558,127.084475049709,5억 2천
더파크뷰능동,42000,서울특별시 광진구 능동 0284-0006 더파크뷰능동,37.5534717856316,127.079017923425,4억 2천
더팰리스,79500,서울특별시 광진구 자양동 0637-0010 더팰리스,37.5313056468454,127.079452624063,7억 9천
더펠리스상우아트빌,44800,서울특별시 광진구 중곡동 0127-0015 더펠리스상우아트빌,37.5590772528764,127.085977322821,4억 4천
더하우스인,29400,서울특별시 광진구 화양동 0020-0010 더하우스인,37.5471747721213,127.068222975427,2억 9천
덕산빌리지,80000,서울특별시 광진구 자양동 0640-0031 덕산빌리지,37.5297405635131,127.07871129071,8억
덕유빌리지,28000,서울특별시 광진구 중곡동 0232-0058 덕유빌리지,37.5643384548771,127.079128551307,2억 8천
도성,52000,서울특별시 광진구 구의동 0235-0030 도성,37.5441283961535,127.086030875048,5억 2천
도시엔,24500,서울특별시 광진구 자양동 0857-0000 도시엔,37.5393597617858,127.064723509979,2억 4천
도인빌라,36000,서울특별시 광진구 군자동 0066-0007 도인빌라,37.5541521371411,127.075564425098,3억 6천
동광그린빌B동,65000,서울특별시 광진구 자양동 0770-0005 동광그린빌B동,37.5389854626603,127.081105384773,6억 5천
